               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12352,            0.078514,                   0,            0.015029,            0.020619,           0.0019225,           0.0003747,             0.12316,            0.078717,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.12285,            0.077393,                   0,            0.010941,            0.030928,           0.0015301,          0.00035329,             0.12261,            0.080101,                   0,          0.00016999,          0.00016999,             0.09847
                   2,             0.12209,            0.072123,                   0,            0.010876,            0.030928,           0.0022409,          0.00057843,             0.12175,            0.080541,                   0,          0.00025994,          0.00025994,             0.09766
                   3,             0.12058,             0.07575,                   0,            0.046013,            0.010309,           0.0022924,          0.00048154,             0.12136,            0.081302,                   0,          0.00034983,          0.00034983,             0.09685
                   4,             0.11828,             0.07377,                   0,           0.0046541,            0.030928,            0.001914,          0.00040418,             0.12125,            0.080779,                   0,          0.00043961,          0.00043961,             0.09604
                   5,             0.11874,            0.077988,                   0,           0.0046123,            0.072165,            0.001992,          0.00036025,             0.11754,            0.089485,                   0,          0.00052926,          0.00052926,            0.095229
                   6,             0.11904,            0.078696,                   0,            0.017306,            0.041237,           0.0065326,          0.00091171,             0.11629,            0.094971,                   0,          0.00061876,          0.00061876,            0.094419
                   7,             0.11781,            0.089119,                   0,            0.020546,            0.041237,           0.0038892,           0.0007408,             0.11726,            0.087358,                   0,          0.00070807,          0.00070807,            0.093608
                   8,             0.11675,            0.074328,                   0,            0.026887,            0.010309,            0.003323,          0.00059991,              0.1193,            0.081423,                   0,          0.00079716,          0.00079716,            0.092797
                   9,               0.115,            0.082203,                   0,            0.042162,            0.020619,           0.0032701,          0.00048369,             0.11508,            0.094362,                   0,            0.000886,            0.000886,            0.091986
                  10,             0.11467,            0.085689,                   0,            0.026106,            0.030928,           0.0046526,          0.00098949,             0.11418,            0.097872,                   0,          0.00097457,          0.00097457,            0.091175
                  11,             0.11258,            0.094304,                   0,            0.066758,            0.041237,           0.0083221,           0.0019327,              0.1121,             0.10352,                   0,           0.0010628,           0.0010628,            0.090363
                  12,              0.1131,             0.07942,                   0,            0.036995,            0.020619,           0.0059286,           0.0013548,             0.11054,             0.10311,                   0,           0.0011508,           0.0011508,            0.089551
                  13,             0.11134,            0.090088,                   0,            0.099632,            0.071874,            0.021097,           0.0055052,             0.10866,              0.1049,                   0,           0.0012383,           0.0012383,            0.088738
                  14,             0.11121,            0.084687,                   0,             0.13016,             0.12371,            0.044019,           0.0096529,             0.11003,            0.095688,                   0,           0.0013255,           0.0013255,            0.087925
                  15,             0.10792,            0.075721,                   0,             0.11836,             0.12371,            0.051079,           0.0091428,              0.1066,            0.098177,                   0,           0.0014122,           0.0014122,            0.087112
                  16,             0.10711,            0.087035,                   0,             0.10334,             0.14433,            0.041367,           0.0077511,             0.10655,             0.09287,                   0,           0.0014985,           0.0014985,            0.086299
                  17,              0.1068,            0.080552,                   0,            0.080129,              0.1134,            0.038657,           0.0064655,             0.10504,            0.091117,                   0,           0.0015843,           0.0015843,            0.085484
                  18,             0.10454,            0.083265,                   0,            0.099324,             0.13402,            0.042875,           0.0084571,             0.10421,            0.095399,                   0,           0.0016696,           0.0016696,             0.08467
                  19,             0.10465,            0.079341,                   0,            0.064754,             0.23711,            0.036417,           0.0065385,             0.10338,             0.08622,                   0,           0.0017544,           0.0017544,            0.083854
                  20,            0.099282,            0.082474,                   0,              0.1257,            0.072165,            0.032919,           0.0081012,             0.10123,            0.089952,                   0,           0.0018386,           0.0018386,            0.083039
                  21,            0.099422,            0.086726,                   0,              0.1275,             0.19588,            0.056066,           0.0098153,            0.097415,            0.093734,                   0,           0.0019222,           0.0019222,            0.082222
                  22,            0.095633,              0.1002,                   0,             0.13057,             0.28866,            0.073143,            0.017398,            0.098726,            0.098663,                   0,           0.0020052,           0.0020052,            0.081405
                  23,            0.093158,            0.079786,                   0,             0.12717,             0.30792,             0.10649,            0.021964,            0.096993,            0.092946,                   0,           0.0020875,           0.0020875,            0.080588
                  24,            0.091897,            0.088643,                   0,             0.10356,             0.30928,            0.097622,            0.024978,            0.093269,            0.094132,                   0,           0.0021692,           0.0021692,            0.079769
                  25,            0.088387,            0.075698,                   0,             0.32387,             0.12371,             0.11533,            0.022329,            0.085533,            0.096138,                   0,           0.0022502,           0.0022502,             0.07895
                  26,            0.086688,            0.092657,                   0,             0.27494,             0.15464,             0.12401,            0.031019,            0.085286,            0.099204,                   0,           0.0023304,           0.0023304,             0.07813
                  27,            0.087172,            0.081685,                   0,             0.18098,             0.25773,             0.13199,            0.028796,            0.091116,            0.095575,                   0,           0.0024099,           0.0024099,             0.07731
