               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12099,            0.089682,                   0,           0.0046078,             0.10309,             0.00233,          0.00061755,             0.11921,             0.10576,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.12203,            0.080512,                   0,           0.0052382,            0.030928,           0.0023412,          0.00055068,             0.11927,             0.10368,                   0,             0.00017,             0.00017,             0.09847
                   2,             0.12143,            0.085765,                   0,           0.0041836,            0.082474,           0.0019009,          0.00034863,             0.12056,            0.096679,                   0,             0.00026,             0.00026,             0.09766
                   3,             0.12187,            0.084113,                   0,           0.0044242,             0.10309,           0.0021348,          0.00066099,             0.12193,            0.089909,                   0,          0.00034999,          0.00034999,             0.09685
                   4,             0.11997,             0.08084,                   0,           0.0047811,             0.10309,           0.0023527,          0.00050421,             0.12139,            0.092096,                   0,          0.00043998,          0.00043998,             0.09604
                   5,             0.11974,            0.089971,                   0,           0.0039204,            0.082474,           0.0018759,          0.00046709,             0.12045,            0.094045,                   0,          0.00052997,          0.00052997,             0.09523
                   6,             0.11879,            0.081879,                   0,           0.0074936,            0.041237,           0.0022378,          0.00041572,             0.11904,            0.093389,                   0,          0.00061995,          0.00061995,             0.09442
                   7,             0.11879,            0.081925,                   0,            0.014477,            0.020619,           0.0023032,          0.00064854,             0.11838,            0.095918,                   0,          0.00070992,          0.00070992,             0.09361
                   8,             0.11861,            0.078555,                   0,           0.0094895,            0.072165,            0.003235,          0.00084381,             0.11777,            0.095838,                   0,          0.00079989,          0.00079989,              0.0928
                   9,             0.11733,            0.082107,                   0,            0.023115,            0.030928,             0.00418,           0.0012687,             0.11699,            0.091469,                   0,          0.00088984,          0.00088984,             0.09199
                  10,             0.11559,            0.089913,                   0,            0.029764,            0.030928,           0.0050767,           0.0011947,             0.11656,            0.089042,                   0,          0.00097978,          0.00097978,             0.09118
                  11,             0.11516,            0.092667,                   0,             0.13059,            0.020619,            0.006712,           0.0022008,             0.11667,             0.08602,                   0,           0.0010697,           0.0010697,             0.09037
                  12,              0.1145,              0.0784,                   0,             0.13442,            0.030928,           0.0091695,           0.0025955,             0.11567,            0.089523,                   0,           0.0011596,           0.0011596,             0.08956
                  13,             0.11215,            0.089138,                   0,             0.20797,            0.041237,             0.01957,           0.0038503,             0.10989,             0.10443,                   0,           0.0012495,           0.0012495,             0.08875
                  14,             0.11317,            0.087298,                   0,            0.043036,            0.061856,           0.0083988,           0.0019663,             0.11008,             0.10339,                   0,           0.0013394,           0.0013394,            0.087939
                  15,             0.11235,            0.091974,                   0,            0.062432,            0.076221,            0.012395,           0.0022246,             0.10733,             0.10451,                   0,           0.0014293,           0.0014293,            0.087129
                  16,             0.11045,            0.083162,                   0,            0.090725,            0.082474,            0.016843,           0.0027142,             0.11036,             0.08991,                   0,           0.0015191,           0.0015191,            0.086319
                  17,             0.10785,            0.091561,                   0,            0.051417,            0.082474,             0.01346,            0.002614,             0.10836,            0.092246,                   0,            0.001609,            0.001609,            0.085509
                  18,             0.10686,            0.088248,                   0,            0.063537,             0.10309,            0.017699,           0.0033202,             0.11008,            0.089454,                   0,           0.0016988,           0.0016988,            0.084699
                  19,             0.10521,            0.096752,                   0,            0.058019,            0.061856,            0.015603,            0.003504,             0.10999,            0.083656,                   0,           0.0017886,           0.0017886,            0.083889
                  20,             0.10591,            0.083015,                   0,            0.075217,            0.051546,            0.021164,           0.0053091,             0.10944,            0.081703,                   0,           0.0018783,           0.0018783,            0.083078
                  21,             0.10401,            0.090809,                   0,            0.058793,             0.21649,            0.026283,           0.0060285,             0.10686,            0.081252,                   0,           0.0019681,           0.0019681,            0.082268
                  22,             0.10172,            0.085558,                   0,            0.093792,              0.1134,            0.034205,           0.0069148,             0.10232,            0.087971,                   0,           0.0020578,           0.0020578,            0.081458
