               epoch,      train_box_loss,      train_obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.11589,0.09234,0,0.4837,0.019231,0.0092086,0.0051715,0.12045,0.12493,0,0,0,0.1
1,0.11961,0.09149,0,0.058379,0.019231,0.0026955,0.00045199,0.12016,0.12447,0,1E-05,1E-05,0.09991
2,0.12015,0.082027,0,0.057536,0.019231,0.002576,0.00051519,0.12,0.12494,0,2E-05,2E-05,0.09982
3,0.12027,0.090734,0,0.054558,0.019231,0.0025743,0.00034278,0.1199,0.12495,0,3E-05,3E-05,0.09973
4,0.10878,0.062739,0,0.0018125,0.019231,0.00085183,0.00017037,0.11986,0.12467,0,3.9999E-05,3.9999E-05,0.09964
5,0.11863,0.06912,0,0.001707,0.019231,0.00085109,0.00017022,0.1198,0.12459,0,4.9999E-05,4.9999E-05,0.09955
6,0.12073,0.1101,0,0.0016913,0.019231,0.00085013,0.00017003,0.11972,0.12476,0,5.9998E-05,5.9998E-05,0.09946
7,0.11651,0.10736,0,0.0017251,0.019231,0.00085049,0.0001701,0.11954,0.12522,0,6.9997E-05,6.9997E-05,0.09937
8,0.11345,0.079872,0,0.061246,0.019231,0.0026195,0.00034693,0.11941,0.12556,0,7.9995E-05,7.9995E-05,0.09928
9,0.11939,0.071819,0,0.067095,0.019231,0.0018958,0.00018958,0.11943,0.12533,0,8.9993E-05,8.9993E-05,0.09919
10,0.11712,0.086972,0,0.071262,0.019231,0.0018958,0.00018958,0.11936,0.12541,0,9.999E-05,9.999E-05,0.0991
11,0.1191,0.081586,0,0.068942,0.019231,0.0027754,0.00027754,0.11925,0.12585,0,0.00010999,0.00010999,0.09901
12,0.11879,0.094416,0,0.079226,0.019231,0.002938,0.00050124,0.11917,0.12585,0,0.00011998,0.00011998,0.09892
13,0.12114,0.14739,0,0.074488,0.018622,0.0028379,0.00048161,0.11885,0.12684,0,0.00012998,0.00012998,0.09883
14,0.11783,0.095764,0,0.073139,0.019231,0.0029372,0.00050116,0.11883,0.12659,0,0.00013997,0.00013997,0.09874
15,0.11794,0.091465,0,0.068437,0.019231,0.0037427,0.00057209,0.11879,0.12659,0,0.00014997,0.00014997,0.09865
16,0.11423,0.085291,0,0.076257,0.019064,0.0037461,0.00065864,0.11882,0.12634,0,0.00015996,0.00015996,0.09856
17,0.11624,0.089284,0,0.076825,0.019231,0.0037542,0.0006598,0.11887,0.126,0,0.00016995,0.00016995,0.09847
